name,date,overall_rating,food_rating,service_rating,ambience_rating,review_text,source,scrape_timestamp
Sally,"Dined on November 8, 2025",5,5,4,5,Incredible food as always! Great stop while visiting.,OpenTable,2025-11-23 05:15:08.757383
Jacqueline,"Dined on November 7, 2025",5,5,5,5,Always a stop when we are in the area. The food is Devine!,OpenTable,2025-11-23 05:15:08.757383
Hailie,"Dined on November 7, 2025",5,5,5,5,"Fantastic bartenders, tasty food. We always eat here when visiting Vancouver.",OpenTable,2025-11-23 05:15:08.757383
Melanie,"Dined on November 5, 2025",5,5,5,4,Absolutely fantastic spot for a catch up with a friend. Of course the sushi shines but the mushroom risotto is also incredible.,OpenTable,2025-11-23 05:15:08.757383
Dianne,"Dined on November 5, 2025",5,5,5,4,"Great food nice place to go, will
Go again and recomend this place",OpenTable,2025-11-23 05:15:08.757383
"Cindy
Gold","Dined on November 4, 2025",5,5,5,5,Was there to celebrate my husband’s birthday. We were seated a little after we arrived and we already knew what we wanted to order. We went with the Miku omakase menu along with the wine pairing. The food was delicious along with the great wine selection for the pairing; it really goes well with the courses that we had. The staff were very friendly. I would definitely recommend this place and would come back if I’m in Vancouver next time.,OpenTable,2025-11-23 05:15:08.757383
"Kristina
Gold","Dined on November 2, 2025",5,5,4,5,"While expensive,  the quality of food is always excellent and its always delicious!
Love the aburi.  Wish we could afford to order more of the unagi sushi, but the price is getting a bit steep IMO - delicious,  but hard to justify.
Service was friendly enough, and a nice setting.
Miss the old days of them offering the little chocolates at the hostess stand on the way out - I'm sure they could afford to bring those back.",OpenTable,2025-11-23 05:15:08.757383
Cecile,"Dined on November 1, 2025",5,4,5,4,"Service was excellent! Food not so small servings and pricey but its food quality. 
The ambiance is ok unfortunately we couldn't seat by the window as there were 5 of us   Overall is good our server was very friendly and attentive!",OpenTable,2025-11-23 05:15:08.757383
Antonio,"Dined on November 1, 2025",5,5,5,5,One of the star restaurants that keeps it’s quality,OpenTable,2025-11-23 05:15:08.757383
"Maria
Gold","Dined on October 31, 2025",5,5,5,5,Vinny is awesome.  He always provide impeccable service.  Very pleasant attitude.,OpenTable,2025-11-23 05:15:08.757383
Jeremy,"Dined on October 30, 2025",5,5,5,5,"Food was amazing. Our Bartender/server was great with recommendations and explanations of our dishes. Maybe a bit pricey for some, but worth it I promise.",OpenTable,2025-11-23 05:15:08.757383
Nina,"Dined on October 30, 2025",5,5,5,4,"My server went above and beyond to make sure to accommodate my special low FODMAP diet which is very complicated. In addition to the awesome server, the food was delicious and the views by the window were awesome (I sat at the sushi bar which I wouldn’t recommend since there’s no views and they serve you regularly anyways).",OpenTable,2025-11-23 05:15:08.757383
Patti,"Dined on October 29, 2025",5,5,5,4,"The restaurant is bright and welcoming
Our server was very friendly and welcoming help us with suggestions for beverages and food.
Definitely I’ll go back!!",OpenTable,2025-11-23 05:15:08.757383
Choy,"Dined on October 27, 2025",3,3,2,5,Our party of 5 shared our orders.  Food was fresh but it didn’t meet expectations. Sashimi slices were too thin.  The service from our waiter was disappointing.  He was not friendly nor welcoming.,OpenTable,2025-11-23 05:15:08.757383
Julie,"Dined on October 26, 2025",5,5,5,5,Excellent as always !!! Treated my niece for her bday and it was her first time. She liked it so much that she wanted to surprised her boyfriend for his bday!! Thank you for making her day special and accommodating my bivalve mollusks allergy. Greatly appreciated!!!,OpenTable,2025-11-23 05:15:08.757383
Lieza,"Dined on October 25, 2025",5,5,5,5,Beautiful views and delicious food. Perfect lunch or dinner outing!,OpenTable,2025-11-23 05:15:08.757383
Amanda,"Dined on October 25, 2025",5,5,5,5,Excellent service and delicious food! Lenny the waiter was great. He provided recommendations and answered all of our questions. Very professional and friendly. Beautiful water views.,OpenTable,2025-11-23 05:15:08.757383
Christine,"Dined on October 24, 2025",5,5,5,5,"Loved!! Fantastic  food , pricey, but excellent , great experience",OpenTable,2025-11-23 05:15:08.757383
adam,"Dined on October 24, 2025",5,5,4,5,Always my first stop in Vancouver and never disappoints.,OpenTable,2025-11-23 05:15:08.757383
Fiona,"Dined on October 23, 2025",5,5,5,5,"We always love going there for the famous oshi aburi sushi! 
Good ambiance, food, and service as usual.",OpenTable,2025-11-23 05:15:08.757383
George,"Dined on October 22, 2025",5,5,5,4,"Have been here multiple times since 2011, and each has been better than the last.

My partner and I had supper with a friend from overseas, and indulged in the 7 course Chef's tasting menu, including a variety of seafood, sashimi, sushi, smoked duck, and Wagyu, with a lovely seasonal desert. Portions, were small but after the 7 course, we were satiated. 

Add a bottle of wine (you can get a BC wine selection or pick from an excellent wine list).

Extraordinary.",OpenTable,2025-11-23 05:15:08.757383
David,"Dined on October 22, 2025",5,5,5,5,Food was amazing. Worth every penny. Service was attentive and friendly. I would recommend this place to anyone who loves seafood. Soft Shell crab was to die for.,OpenTable,2025-11-23 05:15:08.757383
Alexandra,"Dined on October 20, 2025",5,5,5,5,The restaurant was really accommodating with allergies and our server (Niko) was really knowledgeable and personable. The food itself was fantastic and makes me want to try out more of their menu.,OpenTable,2025-11-23 05:15:08.757383
Leslie,"Dined on October 19, 2025",5,5,5,5,"My first visit to Miku turned into something truly memorable — a special occasion shared with my children, their partners, and dear friends visiting from South Africa and London. We were given a lovely semi-private dining room with a big table for the eight of us, and from our seats we could take in one of the most breathtaking views in Vancouver — overlooking Canada Place and the cruise ship terminal.

The food was exceptional — fresh, beautifully presented, and easily the best sushi experience I’ve had in Vancouver and the Lower Mainland. Every dish felt like a little artwork on a plate. I ordered the Sable fish…a superb decision and a masterpiece presentation. The staff were wonderful — attentive without being overbearing, warm yet professional, and genuinely invested in making our day special.

After 35 years in Vancouver, Miku has found its way right to the top of my list of favourite dining experiences. It’s a place that manages to feel both elegant and comfortable — perfect for a celebration or a romantic meal. And considering the quality, the luncheon was very well priced and worth every single penny.

A heartfelt thank you to management and staff.",OpenTable,2025-11-23 05:15:08.757383
Jonathan,"Dined on October 19, 2025",5,5,5,5,"Miku is always on our ""to go"" list when we are downtown.  The food and presentation are not entirely ""Japanese"" but it is certainly Japanese inspired in a modern fusion style.  I am born and raised in rural Japan, eating very traditionally until I moved away but I am a big fan of Miku.",OpenTable,2025-11-23 05:15:08.757383
